City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Riyadh,SA,75.34,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
377,Barahona,DO,80.42,scattered clouds,18.2085,-71.1008,Hotel Caribe
383,Freetown,SL,78.48,few clouds,8.484,-13.2299,The Country Lodge Hotel
388,Kudahuvadhoo,MV,81.43,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
392,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
395,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
399,Lazaro Cardenas,MX,81.34,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
402,Dubti,ET,77.04,clear sky,11.7361,41.0853,degu Shiferaw
405,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
406,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
407,Champerico,GT,88.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
408,Sur,OM,77.47,clear sky,22.5667,59.5289,Sur Plaza Hotel
409,Etchoropo,MX,79.41,scattered clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
410,Buluang,PH,79.48,broken clouds,13.3068,123.3425,Sacueza Beach Resort
414,Mumford,GH,78.78,broken clouds,5.2618,-0.759,Peace Guest House
417,Amuntai,ID,75.27,broken clouds,-2.4177,115.2494,Hotel Balqis
419,Gao,ML,77.77,broken clouds,16.6362,1.637,
422,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
430,Balingasay,PH,81.3,clear sky,16.3573,119.8564,Rock Garden Resort
436,Wagar,SD,81.59,scattered clouds,16.1525,36.2032,
444,Codo,BR,75.99,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
448,Tevaitoa,PF,77.11,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
453,Ixtapa,MX,80.22,clear sky,20.7,-105.2,hotel la terminal
460,Santiago Del Estero,AR,76.32,moderate rain,-27.7951,-64.2615,Apartamentos Castelli 90
461,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
465,Kourou,GF,75.25,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
467,Miami,US,82.0,broken clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
473,Kupang,ID,81.93,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
475,Tabou,CI,77.92,light rain,4.423,-7.3528,hotêl doufoulougou
477,New Amsterdam,GY,76.44,overcast clouds,6.25,-57.5167,Little Rock Suites
487,Vanimo,PG,80.55,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
488,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
492,Hobyo,SO,80.76,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
493,Popondetta,PG,86.22,overcast clouds,-8.7537,148.2534,Timos Transit House
494,Catamarca,AR,76.77,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
503,Umm Lajj,SA,77.94,clear sky,25.0213,37.2685,Moon light Furnished Units
508,Semporna,MY,80.17,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
512,Puerto Carreno,CO,79.86,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
513,Illela,NG,78.84,clear sky,13.7292,5.2975,
517,Belem De Sao Francisco,BR,83.55,broken clouds,-8.7539,-38.9658,Village Hotel
522,Kidal,ML,75.4,scattered clouds,18.4411,1.4078,
523,Inirida,CO,76.14,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
529,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
532,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
535,Mucuri,BR,76.15,overcast clouds,-18.0864,-39.5508,La Bodeguita Pousada
538,Kiunga,PG,81.1,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
544,Douala,CM,76.17,light rain,4.0483,9.7043,Hôtel Prince De Galles Douala
547,Cozumel,MX,82.08,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
548,Warri,NG,75.47,broken clouds,5.5167,5.75,GT Guesthouse
559,El Pueblito,MX,78.04,clear sky,20.5333,-100.45,Capital O Villa Bonita
561,Turbat,PK,78.76,clear sky,26.0023,63.044,Mubashar Quarters
564,Maningrida,AU,87.64,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
