City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Kishi,NG,9.0833,3.85,78.8,54,44,1.21,scattered clouds
320,Mount Isa,AU,-20.7333,139.5,80.37,69,40,8.05,scattered clouds
321,Gimli,CA,50.6336,-96.9907,20.08,75,99,2.75,overcast clouds
322,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,70.99,21,4,14.18,clear sky
323,Mocuba,MZ,-16.8392,36.9856,72.41,93,12,3.09,few clouds
324,Dingle,PH,10.9995,122.6711,78.28,91,65,6.8,broken clouds
325,Komsomolskiy,UZ,40.4272,71.7189,32.72,93,92,4.61,mist
326,Bandar-E Anzali,IR,37.4727,49.4622,57.6,80,82,2.19,broken clouds
327,Wloclawek,PL,52.6482,19.0678,49.75,93,92,3.87,overcast clouds
328,Surovikino,RU,48.6078,42.8486,44.46,81,4,22.39,clear sky
329,Grande Prairie,CA,55.1667,-118.8027,20.48,94,33,0.38,scattered clouds
330,Lata,PT,40.1629,-8.3327,54.07,83,93,3.58,overcast clouds
331,Magdagachi,RU,53.45,125.8,3.43,97,27,0.58,scattered clouds
332,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,77.14,84,55,3.47,heavy intensity rain
333,Coquimbo,CL,-29.9533,-71.3436,60.53,88,40,9.22,scattered clouds
334,Havoysund,NO,70.9963,24.6622,37.63,69,99,9.55,overcast clouds
335,Northam,GB,51.0333,-4.2167,58.39,94,44,10.78,scattered clouds
336,Palauig,PH,15.435,119.9045,81.05,74,6,3.91,clear sky
337,Nelson Bay,AU,-32.7167,152.15,78.1,76,71,10.0,light rain
338,Krasnoobsk,RU,54.9198,82.9909,33.71,98,100,17.94,snow
339,Faanui,PF,-16.4833,-151.75,76.69,82,100,11.68,moderate rain
340,Stara Tura,SK,48.7772,17.6943,42.28,89,8,1.14,mist
341,Uray,RU,60.1247,64.7758,22.05,93,98,7.92,overcast clouds
342,Alamosa,US,37.4695,-105.87,39.18,22,0,0.0,clear sky
343,Novopskov,UA,49.5464,39.0899,46.13,86,21,18.32,few clouds
344,Islamkot,PK,24.6997,70.177,71.29,31,1,3.44,clear sky
345,Bridlington,GB,54.0831,-0.1919,51.15,95,2,1.99,clear sky
